run_id,previous_episode_id,current_episode_id,change_type,overlap_hotspots,previous_size,current_size
20260903T042746Z,,E20260701-68760DE251,created,0,0,7
20260903T042746Z,,E20260701-6E20A21386,created,0,0,5
20260903T042746Z,,E20260701-C062940E0C,created,0,0,3
20260903T042746Z,,E20260701-42091F6D5D,created,0,0,5
20260903T042746Z,,E20260701-624A099D7A,created,0,0,3
20260903T042746Z,,E20260701-13259827D3,created,0,0,3
20260903T042746Z,,E20260701-AECB8E0AFB,created,0,0,6
20260903T042746Z,,E20260701-B36D19298A,created,0,0,8
20260903T042746Z,,E20260701-1F533DBB1E,created,0,0,7
20260903T042746Z,,E20260701-D4EFD338A6,created,0,0,4
20260903T042746Z,,E20260701-56AC552B8E,created,0,0,3
20260903T042746Z,,E20260701-7370E5FD85,created,0,0,3
20260903T042746Z,,E20260701-4815BE5C27,created,0,0,3
20260903T042746Z,,E20260701-CD5A31B272,created,0,0,3
20260903T042746Z,,E20260701-681B2D7705,created,0,0,3
20260903T042746Z,,E20260701-6EFF3B228A,created,0,0,3
20260903T042746Z,,E20260701-F670808AA9,created,0,0,3
20260903T042746Z,,E20260701-C80E8B0DF3,created,0,0,3
20260903T042746Z,,E20260701-962C22CC71,created,0,0,3
20260903T042746Z,,E20260702-6E5709E9C9,created,0,0,7
20260903T042746Z,,E20260702-1EB2AB2A63,created,0,0,3
20260903T042746Z,,E20260702-468A56C8B7,created,0,0,3
20260903T042746Z,,E20260702-40741D5851,created,0,0,3
20260903T042746Z,,E20260702-349DAAB6DC,created,0,0,4
20260903T042746Z,,E20260702-CE6089FA14,created,0,0,3
20260903T042746Z,,E20260702-A60BAEE536,created,0,0,3
20260903T042746Z,,E20260703-AE6B4BF4F9,created,0,0,4
20260903T042746Z,,E20260703-6ECAB04F8F,created,0,0,3
20260903T042746Z,,E20260703-98C9520472,created,0,0,3
20260903T042746Z,,E20260703-5BBE1A7674,created,0,0,4
20260903T042746Z,,E20260703-1FF3602D3E,created,0,0,5
20260903T042746Z,,E20260703-EE6DAAE892,created,0,0,4
20260903T042746Z,,E20260705-F1EC559A9C,created,0,0,4
20260903T042746Z,,E20260705-68C4D99C66,created,0,0,3
20260903T042746Z,,E20260705-00DD5C8B4C,created,0,0,3
20260903T042746Z,,E20260705-4317C33794,created,0,0,3
20260903T042746Z,,E20260705-C68E538818,created,0,0,4
20260903T042746Z,,E20260705-6072F98339,created,0,0,3
20260903T042746Z,,E20260705-D9EE06A97C,created,0,0,3
20260903T042746Z,,E20260705-78BDAEDA94,created,0,0,3
20260903T042746Z,,E20260705-CCAF7C1E37,created,0,0,13
20260903T042746Z,,E20260705-DCBB4F3B3C,created,0,0,9
20260903T042746Z,,E20260706-A28051643D,created,0,0,8
20260903T042746Z,,E20260706-B7AE886C06,created,0,0,3
20260903T042746Z,,E20260706-DD6BEE85E7,created,0,0,3
20260903T042746Z,,E20260706-2CFA3F627E,created,0,0,10
20260903T042746Z,,E20260706-F71EE2D3F6,created,0,0,5
20260903T042746Z,,E20260706-C09DF6B91A,created,0,0,12
20260903T042746Z,,E20260706-F7B39BFEC9,created,0,0,4
20260903T042746Z,,E20260706-843F86D4E2,created,0,0,3
20260903T042746Z,,E20260706-57BFCB84C5,created,0,0,4
20260903T042746Z,,E20260706-07DCA6CB34,created,0,0,7
20260903T042746Z,,E20260706-BD9EA33C7B,created,0,0,4
20260903T042746Z,,E20260706-C9427EC071,created,0,0,5
20260903T042746Z,,E20260706-98206DFDFF,created,0,0,8
20260903T042746Z,,E20260706-5C8776057C,created,0,0,3
20260903T042746Z,,E20260706-45DAC45868,created,0,0,5
20260903T042746Z,,E20260706-206A96E470,created,0,0,3
20260903T042746Z,,E20260706-85481E6468,created,0,0,9
20260903T042746Z,,E20260706-D8E739DFB3,created,0,0,3
20260903T042746Z,,E20260706-B5ED239850,created,0,0,3
20260903T042746Z,,E20260706-5B0A15CB8C,created,0,0,9
20260903T042746Z,,E20260706-3012F6BBD7,created,0,0,3
20260903T042746Z,,E20260706-96D4FEA24B,created,0,0,5
20260903T042746Z,,E20260706-9C1892A589,created,0,0,3
20260903T042746Z,,E20260706-983ED618D4,created,0,0,3
20260903T042746Z,,E20260706-F6E1EEDF7D,created,0,0,3
20260903T042746Z,,E20260706-74874074E9,created,0,0,3
20260903T042746Z,,E20260706-158995005A,created,0,0,5
20260903T042746Z,,E20260706-63962850D2,created,0,0,3
20260903T042746Z,,E20260706-C781CFFC4B,created,0,0,5
20260903T042746Z,,E20260706-5078D1E9A8,created,0,0,3
20260903T042746Z,,E20260706-B3903D2282,created,0,0,3
20260903T042746Z,,E20260706-C5BC15029C,created,0,0,3
20260903T042746Z,,E20260706-F817A376AF,created,0,0,3
20260903T042746Z,,E20260706-D7B485FA99,created,0,0,3
20260903T042746Z,,E20260707-18EC36B37E,created,0,0,4
20260903T042746Z,,E20260707-296FA41163,created,0,0,3
20260903T042746Z,,E20260707-14F7FA079E,created,0,0,4
20260903T042746Z,,E20260707-1201868E48,created,0,0,6
20260903T042746Z,,E20260707-6FBFB6ADC1,created,0,0,3
20260903T042746Z,,E20260707-69A41BE6AD,created,0,0,4
20260903T042746Z,,E20260707-5A4C7BBD3A,created,0,0,3
20260903T042746Z,,E20260707-BA225B0177,created,0,0,3
20260903T042746Z,,E20260707-0889B9D494,created,0,0,3
20260903T042746Z,,E20260707-9EED4A008E,created,0,0,5
20260903T042746Z,,E20260707-E492226F0D,created,0,0,11
20260903T042746Z,,E20260707-77F522D2A9,created,0,0,3
20260903T042746Z,,E20260707-8A1B3A442D,created,0,0,8
20260903T042746Z,,E20260707-C6E275B06D,created,0,0,3
20260903T042746Z,,E20260707-F7554A802E,created,0,0,5
20260903T042746Z,,E20260707-BD75A2C299,created,0,0,3
20260903T042746Z,,E20260707-B7FB3D2194,created,0,0,3
20260903T042746Z,,E20260707-98997E0B0B,created,0,0,3
20260903T042746Z,,E20260707-CE27CA342C,created,0,0,6
20260903T042746Z,,E20260707-AC02083115,created,0,0,5
20260903T042746Z,,E20260707-D9B8906DB9,created,0,0,9
20260903T042746Z,,E20260707-922F790B1E,created,0,0,6
20260903T042746Z,,E20260707-A754988DAE,created,0,0,3
20260903T042746Z,,E20260707-FFC046738B,created,0,0,5
20260903T042746Z,,E20260707-5AB422B151,created,0,0,5
20260903T042746Z,,E20260707-D692A3D37F,created,0,0,3
20260903T042746Z,,E20260707-E3B4AB5C4E,created,0,0,5
20260903T042746Z,,E20260707-136775E66F,created,0,0,3
20260903T042746Z,,E20260707-FE803DBD32,created,0,0,3
20260903T042746Z,,E20260708-548A15EAB0,created,0,0,3
20260903T042746Z,,E20260708-63B91B4837,created,0,0,3
20260903T042746Z,,E20260708-731C622051,created,0,0,4
20260903T042746Z,,E20260708-A7DBF098EC,created,0,0,3
20260903T042746Z,,E20260708-206E0D6794,created,0,0,4
20260903T042746Z,,E20260708-A44535E1C4,created,0,0,5
20260903T042746Z,,E20260708-633DB0C0CD,created,0,0,7
20260903T042746Z,,E20260708-6F85C13098,created,0,0,3
20260903T042746Z,,E20260708-4C2001BCDC,created,0,0,3
20260903T042746Z,,E20260708-54FA24E907,created,0,0,4
20260903T042746Z,,E20260708-C70FFC740C,created,0,0,3
20260903T042746Z,,E20260708-19F6E0A425,created,0,0,3
20260903T042746Z,,E20260708-973199A248,created,0,0,4
20260903T042746Z,,E20260708-A0E7427282,created,0,0,3
20260903T042746Z,,E20260708-2F5DD761C1,created,0,0,5
20260903T042746Z,,E20260710-0669D0F2F1,created,0,0,3
20260903T042746Z,,E20260710-34DD75DDFE,created,0,0,3
20260903T042746Z,,E20260710-4EFB7BE161,created,0,0,8
20260903T042746Z,,E20260710-BE7502B4B0,created,0,0,8
20260903T042746Z,,E20260710-83EA70A579,created,0,0,4
20260903T042746Z,,E20260710-C19FC973BC,created,0,0,13
20260903T042746Z,,E20260710-10A19FDCCD,created,0,0,6
20260903T042746Z,,E20260710-56C382938B,created,0,0,3
20260903T042746Z,,E20260710-302F600B8B,created,0,0,3
20260903T042746Z,,E20260710-D86A1BCB4F,created,0,0,5
20260903T042746Z,,E20260710-24793118D1,created,0,0,4
20260903T042746Z,,E20260710-EE2F06E34A,created,0,0,7
20260903T042746Z,,E20260710-D98713EA54,created,0,0,3
20260903T042746Z,,E20260710-95D5E62F0B,created,0,0,3
20260903T042746Z,,E20260710-1396B56177,created,0,0,5
20260903T042746Z,,E20260710-7CD329955E,created,0,0,4
20260903T042746Z,,E20260710-D22EC31FC3,created,0,0,4
20260903T042746Z,,E20260710-5B2846950E,created,0,0,3
20260903T042746Z,,E20260710-5EB3C4132B,created,0,0,4
20260903T042746Z,,E20260711-F427B108D4,created,0,0,13
20260903T042746Z,,E20260711-3A21FD4269,created,0,0,5
20260903T042746Z,,E20260711-4475D1C984,created,0,0,4
20260903T042746Z,,E20260711-B38B8E9143,created,0,0,3
20260903T042746Z,,E20260711-04B68A02A3,created,0,0,3
20260903T042746Z,,E20260711-AF92720E9E,created,0,0,3
