hotspot_id,feature_id,contrat_id,contrato,area_nombre,operador,estado_area,tipo_contrato,cuenca,proceso,distancia_m,clase_espacial
8670c0ccebaca9acd1369557,179,0357,ARMERO,ARMERO,HOCOL S.A.,PRODUCCION,CONVENIO DE EXPLOTACION,VMM,NO APLICA,597.69,hasta_1_km
a648ace2d349322293df4588,32,0147,ORTEGA,ORTEGA,HOCOL S.A.,PRODUCCION,CONVENIO DE EXPLOTACION,VSM,CONTRATACION DIRECTA,0.00,dentro
a648ace2d349322293df4588,87,0042,DOIMA,NO APLICA,ECOPETROL S.A.,PRODUCCION,CONTRATO DE ASOCIACION CON ECOPETROL,VSM,NO APLICA,148.78,hasta_1_km
b5147cf138cfe1755d2b7afe,4,0292,UPAR,NO APLICA,HOCOL S.A.,EXPLORACION,CONVENIO DE EXPLORACION Y EXPLOTACION (E&E),VSM,NO APLICA,0.00,dentro
b5147cf138cfe1755d2b7afe,366,0269,VSM 12,NO APLICA,ALANGE ENERGY CORP,EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),VSM,OPEN ROUND 2010,720.90,hasta_1_km
cb3d8cdddbb6e82c8982f108,87,0042,DOIMA,NO APLICA,ECOPETROL S.A.,PRODUCCION,CONTRATO DE ASOCIACION CON ECOPETROL,VSM,NO APLICA,0.00,dentro
cb3d8cdddbb6e82c8982f108,32,0147,ORTEGA,ORTEGA,HOCOL S.A.,PRODUCCION,CONVENIO DE EXPLOTACION,VSM,CONTRATACION DIRECTA,37.07,hasta_1_km
cb3d8cdddbb6e82c8982f108,277,0554,VSM 4,NO APLICA,MAUREL AND PROM COLOMBIA B.V.,EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),VSM,RONDA COLOMBIA 2021,4937.33,entre_1_y_5_km
d43c9dd5a7856cd04f3f5079,32,0147,ORTEGA,ORTEGA,HOCOL S.A.,PRODUCCION,CONVENIO DE EXPLOTACION,VSM,CONTRATACION DIRECTA,0.00,dentro
d43c9dd5a7856cd04f3f5079,87,0042,DOIMA,NO APLICA,ECOPETROL S.A.,PRODUCCION,CONTRATO DE ASOCIACION CON ECOPETROL,VSM,NO APLICA,689.16,hasta_1_km
d43c9dd5a7856cd04f3f5079,277,0554,VSM 4,NO APLICA,MAUREL AND PROM COLOMBIA B.V.,EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),VSM,RONDA COLOMBIA 2021,4458.95,entre_1_y_5_km
dbc2cba6415265b572aaec5f,277,0554,VSM 4,NO APLICA,MAUREL AND PROM COLOMBIA B.V.,EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),VSM,RONDA COLOMBIA 2021,0.00,dentro
e2285910a87ab8a112648622,32,0147,ORTEGA,ORTEGA,HOCOL S.A.,PRODUCCION,CONVENIO DE EXPLOTACION,VSM,CONTRATACION DIRECTA,0.00,dentro
e2285910a87ab8a112648622,87,0042,DOIMA,NO APLICA,ECOPETROL S.A.,PRODUCCION,CONTRATO DE ASOCIACION CON ECOPETROL,VSM,NO APLICA,376.50,hasta_1_km
e8cd0ee0dbb024124a0b1cec,32,0147,ORTEGA,ORTEGA,HOCOL S.A.,PRODUCCION,CONVENIO DE EXPLOTACION,VSM,CONTRATACION DIRECTA,0.00,dentro
e8cd0ee0dbb024124a0b1cec,87,0042,DOIMA,NO APLICA,ECOPETROL S.A.,PRODUCCION,CONTRATO DE ASOCIACION CON ECOPETROL,VSM,NO APLICA,1170.12,entre_1_y_5_km
e8cd0ee0dbb024124a0b1cec,277,0554,VSM 4,NO APLICA,MAUREL AND PROM COLOMBIA B.V.,EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),VSM,RONDA COLOMBIA 2021,4679.44,entre_1_y_5_km
ef9bace4c01cb5de9c92d1d2,277,0554,VSM 4,NO APLICA,MAUREL AND PROM COLOMBIA B.V.,EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),VSM,RONDA COLOMBIA 2021,0.00,dentro
ef9bace4c01cb5de9c92d1d2,87,0042,DOIMA,NO APLICA,ECOPETROL S.A.,PRODUCCION,CONTRATO DE ASOCIACION CON ECOPETROL,VSM,NO APLICA,1412.11,entre_1_y_5_km
ef9bace4c01cb5de9c92d1d2,32,0147,ORTEGA,ORTEGA,HOCOL S.A.,PRODUCCION,CONVENIO DE EXPLOTACION,VSM,CONTRATACION DIRECTA,1451.32,entre_1_y_5_km
f0387cbaa40787f245217f3c,78,0212,VMM 15,NO APLICA,LOH ENERGY,EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),VMM,MINIRONDA 2008,0.00,dentro
f0387cbaa40787f245217f3c,79,0224,VMM 17,NO APLICA,MORICHAL SINOCO,EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),VMM,MINIRONDA 2008,898.66,hasta_1_km
