period,scenario,hotspots,departments,municipalities,runap,mining,anlaWithin5,anhWithin5
2026-08-29,B,197,17,54,3,25,105,72
2026-08-30,A,208,19,52,10,37,103,60
2026-08-30,B,107,14,35,6,19,50,28
2026-08-31,A,433,23,81,13,53,145,120
2026-08-31,B,284,23,75,10,35,113,100
2026-09-01,A,434,23,85,11,54,162,124
2026-09-01,B,312,21,74,8,32,122,94
2026-09-02,A,322,21,95,15,40,165,102
2026-09-02,B,248,20,84,13,27,141,85
2026-09-03,A,292,24,85,10,45,164,109
2026-09-03,B,206,22,68,8,29,116,74
