Fecha (UTC-5);Lat;Lon;Fuente;Temperatura (C);Temperatura Alt* (C);Radiación térmica (MW);Confianza;Captura (Dia-Noche);Scan - real pixel size (km);Track - real pixel size (km)
2026-09-08 01:22;9,05976;-73,62035;VIIRS-Suomi-NPP;33,7;12,6;1,1;Nominal;N;0,5;0,41
2026-09-08 01:22;6,47445;-72,5424;VIIRS-Suomi-NPP;28,6;-0,8;1,8;Nominal;N;0,42;0,38
2026-09-08 01:22;6,47094;-72,54256;VIIRS-Suomi-NPP;49,5;-2,2;1,8;Nominal;N;0,42;0,38
2026-09-08 01:22;5,46672;-73,55469;VIIRS-Suomi-NPP;23,1;3,6;1,0;Nominal;N;0,45;0,39
2026-09-08 01:22;5,4638;-73,55945;VIIRS-Suomi-NPP;28,8;4,2;1,8;Nominal;N;0,45;0,39
2026-09-08 01:22;5,027;-74,96163;VIIRS-Suomi-NPP;35,4;13,7;1,1;Nominal;N;0,53;0,42
2026-09-08 01:22;4,31092;-75,11577;VIIRS-Suomi-NPP;29,3;13,2;;Nominal;N;0,53;0,42
2026-09-08 01:22;1,77042;-77,05782;VIIRS-Suomi-NPP;35,2;12,9;7,5;Nominal;N;0,43;0,46
2026-09-08 01:22;1,76695;-77,0633;VIIRS-Suomi-NPP;67,7;18,7;23,9;Nominal;N;0,43;0,46
2026-09-08 01:22;1,76625;-77,05876;VIIRS-Suomi-NPP;70,0;15,7;7,5;Nominal;N;0,43;0,46
2026-09-08 01:22;1,42389;-77,62944;VIIRS-Suomi-NPP;23,7;-0,2;1,5;Nominal;N;0,46;0,47
2026-09-08 01:25;3,67777;-75,4937;VIIRS-Suomi-NPP;30,6;17,2;1,1;Nominal;N;0,55;0,42
2026-09-08 01:25;4,0201;-74,75714;VIIRS-Suomi-NPP;31,2;17,4;1,1;Nominal;N;0,5;0,41
2026-09-08 01:25;4,01639;-74,758;VIIRS-Suomi-NPP;36,1;17,7;1,1;Nominal;N;0,5;0,41
2026-09-08 01:25;4,00833;-74,75565;VIIRS-Suomi-NPP;32,4;17,8;1,2;Nominal;N;0,5;0,41
2026-09-08 01:25;4,00462;-74,75652;VIIRS-Suomi-NPP;42,2;17,5;2,4;Nominal;N;0,5;0,41
2026-09-08 01:25;4,00153;-74,76139;VIIRS-Suomi-NPP;47,1;17,5;4,1;Nominal;N;0,5;0,41
2026-09-08 01:25;3,34693;-72,00705;VIIRS-Suomi-NPP;34,5;16,7;;Nominal;N;0,39;0,36
2026-09-08 01:25;2,4455;-75,49063;VIIRS-Suomi-NPP;33,5;14,9;1,1;Nominal;N;0,53;0,42
2026-09-08 01:25;3,66236;-75,11141;VIIRS-Suomi-NPP;41,8;19,9;2,1;Nominal;N;0,52;0,41
2026-09-08 01:25;3,56133;-76,48868;VIIRS-Suomi-NPP;27,9;16,4;1,2;Nominal;N;0,42;0,45
2026-09-08 01:25;2,44781;-75,49295;VIIRS-Suomi-NPP;32,8;14,5;1,2;Nominal;N;0,53;0,42
2026-09-08 01:25;2,91989;-72,04512;VIIRS-Suomi-NPP;40,5;16,8;2,7;Nominal;N;0,39;0,36
2026-09-08 01:25;2,92044;-72,04862;VIIRS-Suomi-NPP;68,9;17,0;2,7;Nominal;N;0,39;0,36
2026-09-08 01:25;2,92378;-72,0481;VIIRS-Suomi-NPP;71,2;18,0;5,7;Nominal;N;0,39;0,36
2026-09-08 01:25;3,67389;-75,49448;VIIRS-Suomi-NPP;30,8;18,0;1,1;Nominal;N;0,55;0,42
2026-09-08 03:35;4,32045;-75,10507;MODIS-Aqua;27,8;17,0;4,5;36 %;N;1,1;1,05
2026-09-08 03:35;1,77061;-77,05035;MODIS-Aqua;27,9;12,4;8,6;37 %;N;1,32;1,14
